Date Run,Status,Time,# of Errors,# of Warnings,# of Exceptions,Log File,Return Value,Error Message,# of Successes
2016-11-15 17:06:37.037 +0000,"Running",0:00:00,0,0,0,"20161115_170637.037/LogFile.txt","","",0
2016-11-15 17:10:04.004 +0000,"Success",0:00:24,0,0,0,"20161115_171004.004/LogFile.txt","","",1
